"ParamClassID","param","WQIClass","Glacial","Criterion","Start Month","End Month","LowerResult","UpperResult","a","b","b2","Comments","...14"
411,"Temp","SpawnSupSalm","NA",13,9.5,13,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
412,"Temp","SpawnSupSalm","NA",13,1,6.5,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
412,"Temp","SpawnSupSalm","NA",17.5,6.5,10,-9,99,105.345,0.923907,-0.13556,"Spawning with Sup Salm spawning",NA
412,"Temp","SpawnSupSalm","NA",13,10,13,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
413,"Temp","SpawnSupSalm","NA",13,1,7,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
413,"Temp","SpawnSupSalm","NA",17.5,7,8.5,-9,99,105.345,0.923907,-0.13556,"Spawning with Sup Salm spawning",NA
413,"Temp","SpawnSupSalm","NA",13,8.5,13,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
414,"Temp","SpawnSupSalm","NA",13,1,7,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
414,"Temp","SpawnSupSalm","NA",17.5,7,9,-9,99,105.345,0.923907,-0.13556,"Spawning with Sup Salm spawning",NA
414,"Temp","SpawnSupSalm","NA",13,9,13,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
415,"Temp","SpawnSupSalm","NA",13,1,7,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
415,"Temp","SpawnSupSalm","NA",17.5,7,9.5,-9,99,105.345,0.923907,-0.13556,"Spawning with Sup Salm spawning",NA
415,"Temp","SpawnSupSalm","NA",13,9.5,13,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
416,"Temp","SpawnSupSalm","NA",13,1,7.5,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
416,"Temp","SpawnSupSalm","NA",17.5,7.5,8,-9,99,105.345,0.923907,-0.13556,"Spawning with Sup Salm spawning",NA
416,"Temp","SpawnSupSalm","NA",13,8,13,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
417,"Temp","SpawnSupSalm","NA",13,1,7.5,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
417,"Temp","SpawnSupSalm","NA",17.5,7.5,8.5,-9,99,105.345,0.923907,-0.13556,"Spawning with Sup Salm spawning",NA
